"ticker","market","price","above_cloud","bull_cloud","MA50_diff","RS_1m","RS_3m","Momentum","TrendLabel","updated_at"
"MRNA","US",57.7999992370605,TRUE,TRUE,37.5384875754976,30.6308925389726,87.2290395727797,99.8730964467005,"Strong trend","2026-03-05"
"TPL","US",536.109985351562,TRUE,TRUE,43.5676379528443,46.5206433983161,63.332497463914,99.746192893401,"Strong trend","2026-03-05"
"GLW","US",144.839996337891,TRUE,TRUE,30.5488173431737,27.1881904733978,55.7994579066105,98.9847715736041,"Strong trend","2026-03-05"
"CIEN","US",343.549987792969,TRUE,TRUE,26.6708119173727,24.6518993009958,53.6425816176556,98.6040609137056,"Strong trend","2026-03-05"
"KEYS","US",300.920013427734,TRUE,TRUE,30.4797699150514,29.8507506332043,42.0903431821693,97.9695431472081,"Strong trend","2026-03-05"
"PAF","UK",171.199996948242,TRUE,TRUE,21.6462011258418,22.5775454063598,48.887209572443,97.5888324873096,"Strong trend","2026-03-05"
"TER","US",305.200012207031,TRUE,TRUE,18.0185611983782,20.1388195854909,53.0068132443771,97.2081218274112,"Strong trend","2026-03-05"
"SDR","UK",585.5,TRUE,TRUE,21.5138698376492,24.5160386377104,41.3524796108927,97.0812182741117,"Strong trend","2026-03-05"
"GNRC","US",220.889999389648,TRUE,TRUE,23.1133653667778,25.623518700313,39.224310206166,97.0812182741117,"Strong trend","2026-03-05"
"ITH","UK",238.5,TRUE,TRUE,30.6520002185611,27.6977845491129,35.2789085863257,96.5736040609137,"Strong trend","2026-03-05"
"SNR","UK",300,TRUE,TRUE,25.407574457523,19.2371892647456,49.6484473069728,96.1928934010152,"Strong trend","2026-03-05"
"FIX","US",1430.38000488281,TRUE,TRUE,21.7408718610803,19.5600224872471,39.7512909070142,95.5583756345178,"Strong trend","2026-03-05"
"ODFL","US",216.190002441406,TRUE,TRUE,19.2556609695711,14.971228141566,43.687517775143,94.2893401015228,"Strong trend","2026-03-05"
"TRGP","US",243.050003051758,TRUE,TRUE,20.1382460233398,20.1622048484147,31.8927050773944,93.4010152284264,"Strong trend","2026-03-05"
"TPR","US",156.910003662109,TRUE,TRUE,12.7270765118835,19.0679668469981,33.6281099443544,93.2741116751269,"Strong trend","2026-03-05"
"KLR","UK",2215,TRUE,TRUE,21.3751835696907,19.5317604659333,31.5298443398196,92.51269035533,"Strong trend","2026-03-05"
"HWM","US",260.089996337891,TRUE,TRUE,14.8326562730832,22.7294906713838,26.903024544093,92.258883248731,"Strong trend","2026-03-05"
"BA","UK",2269,TRUE,TRUE,14.3309197365703,16.1042302673505,33.4446964058218,92.1319796954315,"Strong trend","2026-03-05"
"FDX","US",384.089996337891,TRUE,TRUE,14.5786219493515,13.5851273525803,34.0160462452668,91.6243654822335,"Strong trend","2026-03-05"
"EQIX","US",969.039978027344,TRUE,TRUE,15.3924811670369,17.8802588549387,27.8778207319879,90.8629441624365,"Strong trend","2026-03-05"
"EDV","UK",4848,TRUE,TRUE,11.3208327018723,12.6484147109119,34.4840486291728,90.7360406091371,"Strong trend","2026-03-05"
"IRM","US",107.839996337891,TRUE,TRUE,13.6078686619465,18.7304262876447,26.3858276488917,89.7208121827411,"Strong trend","2026-03-05"
"CF","US",104.709999084473,TRUE,TRUE,17.0153314066125,15.3164345888298,27.1671072857573,89.5939086294416,"Strong trend","2026-03-05"
"BEZ","UK",1289,TRUE,TRUE,19.9571913824392,10.5446718838777,49.7850941143112,89.2131979695432,"Strong trend","2026-03-05"
"DE","US",614.039978027344,TRUE,TRUE,12.9194585957181,14.2946733047657,27.1356757079498,88.8324873096447,"Strong trend","2026-03-05"
"EIX","US",73.8899993896484,TRUE,TRUE,14.1987230737853,19.5810410319626,23.9895592452429,88.8324873096447,"Strong trend","2026-03-05"
"OXY","US",53.6100006103516,TRUE,TRUE,18.3328786425657,20.2101829260787,23.6003359913888,88.8324873096447,"Strong trend","2026-03-05"
"GRMN","US",251.179992675781,TRUE,TRUE,16.2959707336993,19.3837548144518,24.3575353546979,88.7055837563452,"Strong trend","2026-03-05"
"BALL","US",64.7799987792969,TRUE,TRUE,8.6471588659269,13.3399090787717,27.856456413328,88.7055837563452,"Strong trend","2026-03-05"
"GEV","US",841.27001953125,TRUE,TRUE,14.5157791634682,10.8234703483464,37.7243694456097,88.1979695431472,"Strong trend","2026-03-05"
"VLO","US",225.600006103516,TRUE,TRUE,19.9645238081162,22.4585213098197,22.2811223996184,88.1979695431472,"Strong trend","2026-03-05"
"MSI","US",478.209991455078,TRUE,TRUE,15.2337665974636,16.9427481940304,24.7533614859743,87.8172588832487,"Strong trend","2026-03-05"
"HTG","UK",511,TRUE,TRUE,14.6562556094059,10.9500406089519,33.7843038754992,87.6903553299492,"Strong trend","2026-03-05"
"PWR","US",568.380004882812,TRUE,TRUE,17.4649014917785,17.3660795558105,22.8599293442858,86.8020304568528,"Strong trend","2026-03-05"
"TDY","US",682.77001953125,TRUE,TRUE,13.0243290739957,10.7418044199631,32.6541806183442,86.1675126903553,"Strong trend","2026-03-05"
"HSY","US",232.050003051758,TRUE,TRUE,13.4280658204575,15.8635372110628,22.6164704906365,85.9137055837564,"Strong trend","2026-03-05"
"COP","US",115.650001525879,TRUE,TRUE,12.6330139510404,12.7656525412862,24.787398380501,85.6598984771574,"Strong trend","2026-03-05"
"APA","US",31.1000003814697,TRUE,TRUE,16.9172944995087,18.3351061262449,20.7194235010829,85.4060913705584,"Strong trend","2026-03-05"
"VZ","US",51.2000007629395,TRUE,TRUE,16.9248777866953,13.7781484124505,22.8529094948485,85.4060913705584,"Strong trend","2026-03-05"
"HBR","UK",260.600006103516,TRUE,TRUE,19.1848260971893,12.8391716585996,23.5110519322175,84.7715736040609,"Trend intact","2026-03-05"
"KMI","US",33.9199981689453,TRUE,TRUE,13.9578107533701,13.5892594215615,21.74843886738,84.3908629441624,"Trend intact","2026-03-05"
"HOC","UK",749.5,TRUE,TRUE,15.8484372104304,7.98203619249831,58.7759995459657,84.010152284264,"Trend intact","2026-03-05"
"WMB","US",75.7699966430664,TRUE,TRUE,14.786677432182,13.290941332225,20.9641325151349,83.3756345177665,"Trend intact","2026-03-05"
"FCX","US",65.9300003051758,TRUE,TRUE,9.79110985135816,8.16619276509574,42.576688577355,83.3756345177665,"Trend intact","2026-03-05"
"NOC","US",753.840026855469,TRUE,TRUE,13.4457917483047,9.57321160951601,32.3459024710783,83.248730964467,"Trend intact","2026-03-05"
"PCG","US",18.8799991607666,TRUE,TRUE,14.2870933860724,22.4733758745902,17.5564720247078,82.994923857868,"Trend intact","2026-03-05"
"JBHT","US",234.919998168945,TRUE,TRUE,10.335730911587,10.402757746653,26.7789321867552,82.741116751269,"Trend intact","2026-03-05"
"BMY","US",62.3300018310547,TRUE,TRUE,8.78253966177199,10.9057417836518,23.695583720421,82.1065989847716,"Trend intact","2026-03-05"
